date,TMAX,TMIN,TOBS
2018-10-01,21.1,8.9,13.9
2018-10-02,23.9,13.9,17.2
2018-10-03,25.0,15.6,16.1
2018-10-04,22.8,11.7,11.7
2018-10-05,23.3,11.7,18.9
2018-10-06,20.0,13.3,16.1
2018-10-07,20.0,16.1,20.0
2018-10-08,26.7,17.8,17.8
2018-10-09,18.9,17.2,17.8
2018-10-10,24.4,17.2,18.3
2018-10-11,26.1,17.8,21.7
2018-10-12,22.8,14.4,15.6
2018-10-13,15.6,7.2,8.3
2018-10-14,13.3,5.6,6.7
2018-10-15,13.3,6.7,10.0
2018-10-16,18.9,7.8,7.8
2018-10-17,13.3,3.3,5.0
2018-10-18,16.1,4.4,5.0
2018-10-19,10.0,-1.1,0.0
2018-10-20,15.0,-0.6,10.6
2018-10-21,16.7,7.8,7.8
2018-10-22,7.8,-1.1,-1.1
2018-10-23,15.6,-1.1,10.0
2018-10-24,16.7,4.4,6.7
2018-10-25,11.7,2.8,2.8
2018-10-26,9.4,-0.6,-0.6
2018-10-27,8.9,-0.6,6.1
2018-10-28,8.3,5.0,7.2
2018-10-29,10.6,6.7,8.3
2018-10-30,13.3,2.2,5.0
2018-10-31,12.2,0.0,0.0
