x,y,label
0.0,0.0,good
0.01,0.21,good
0.02,0.25,good
0.03,0.29,good
0.04,0.4,good
0.05,0.47,good
0.06,0.51,good
0.07,0.52,good
0.08,0.55,good
0.09,0.56,good
0.1,0.6,good
0.12,0.61,good
0.13,0.61,good
0.15,0.69,good
0.16,0.71,good
0.17,0.73,good
0.21,0.8,good
0.22,0.81,good
0.24,0.85,good
0.25,0.87,good
0.27,0.89,good
0.3,0.89,good
0.37,0.92,good
0.41,0.94,good
0.45,0.96,good
0.47,0.96,good
0.5,0.96,good
0.56,0.98,good
0.6,0.98,good
0.66,0.98,good
0.7,0.98,good
0.75,0.98,good
0.9,1.0,good
1.0,1.0,good
0.0,0.0,better
0.01,0.26,better
0.02,0.44999999999999996,better
0.03,0.54,better
0.04,0.65,better
0.05,0.72,better
0.06,0.76,better
0.07,0.77,better
0.08,0.8,better
0.09,0.81,better
0.1,0.85,better
0.12,0.86,better
0.13,0.86,better
0.15,0.8899999999999999,better
0.16,0.9099999999999999,better
0.17,0.9299999999999999,better
0.21,0.95,better
0.22,0.95,better
0.24,0.98,better
0.25,0.98,better
0.27,0.98,better
0.3,0.98,better
0.37,0.98,better
0.41,0.99,better
0.45,0.99,better
0.47,1.0,better
0.5,1.0,better
0.56,1.0,better
0.6,1.0,better
0.66,1.0,better
0.7,1.0,better
0.75,1.0,better
1.0,1.0,better
1.0,1.0,better
0.0,0.0,best
0.01,0.31,best
0.02,0.75,best
0.03,0.9,best
0.04,0.95,best
0.05,0.96,best
0.06,0.98,best
0.07,0.98,best
0.08,0.98,best
0.09,0.98,best
0.1,0.98,best
0.12,0.99,best
0.13,0.99,best
0.15,0.99,best
0.16,0.99,best
0.17,0.99,best
0.21,1.0,best
0.22,1.0,best
0.24,1.0,best
0.25,1.0,best
0.27,1.0,best
0.3,1.0,best
0.37,1.0,best
0.41,1.0,best
0.45,1.0,best
0.47,1.0,best
0.5,1.0,best
0.56,1.0,best
0.6,1.0,best
0.66,1.0,best
0.7,1.0,best
0.75,1.0,best
1.0,1.0,best
1.0,1.0,best
